"name","age","gender","length_service","absent_hours","distribution_centers_id","location","latitude","longitude"
"Gutierrez Molly",32.02881569,"F",6.018478474,36.57730606,5,"New Orleans LA",29.95,-90.0667
"Hardwick Stephen",40.32090167,"M",5.532444578,30.16507231,9,"Charleston SC",32.7833,-79.9333
"Delgado Chester",48.82204661,"M",4.389973118,83.80779766,10,"Savannah GA",32.0167,-81.1167
"Simon Irene",44.59935722,"F",3.081735738,70.02016505,2,"Chicago IL",41.8369,-87.6847
"Delvalle Edward",35.69787561,"M",3.619091448,0,4,"Los Angeles CA",34.05,-118.25
"Jones Ernie",48.44031059,"M",2.717692452,81.83007916,6,"Port Authority of New York/New Jersey NY/NJ",40.634,-73.7834
"Buford Ralph",50.75273,"M",10.157918,60.49507152,6,"Port Authority of New York/New Jersey NY/NJ",40.634,-73.7834
"Lee Gregory",36.2160312,"M",4.432122862,30.07290192,10,"Savannah GA",32.0167,-81.1167
"Smith Jerry",58.42738025,"M",6.940120524,181.630819,4,"Los Angeles CA",34.05,-118.25
"Beard Robert",39.85398,"M",13.848321,30.66440832,10,"Savannah GA",32.0167,-81.1167
"Mathis John",46.54758052,"M",4.872038321,28.01835332,3,"Houston TX",29.7604,-95.3698
"Barajas John",15,"M",3.793042148,0,5,"New Orleans LA",29.95,-90.0667
"Leonard James",37.72801116,"M",3.621141838,0,6,"Port Authority of New York/New Jersey NY/NJ",40.634,-73.7834
"Davis Janet",30.78519091,"F",4.583328091,34.33444296,1,"Memphis TN",35.1174,-89.9711
"Bell Thomas",49.92338,"M",4.883225,0,9,"Charleston SC",32.7833,-79.9333
"Combs Danny",42.79789,"M",19.107198,21.65982312,2,"Chicago IL",41.8369,-87.6847
"Vivanco Anne",48.6213,"F",9.940272,0,3,"Houston TX",29.7604,-95.3698
"Craig Bobbie",41.85581217,"F",2.559053659,55.09983109,8,"Mobile AL",30.6944,-88.0431
"Jones Ilona",51.00873723,"F",5.30277286,81.59554037,9,"Charleston SC",32.7833,-79.9333
"Watkins Jan",36.91041,"F",11.22628,94.66856131,5,"New Orleans LA",29.95,-90.0667
"Callaway Jesus",57.90324297,"M",3.300303735,108.3801763,7,"Philadelphia PA",39.95,-75.1667
"Hammett Josephine",24.47030259,"F",3.147510228,0,2,"Chicago IL",41.8369,-87.6847
"Jarman Sandra",49.51672,"F",6.5335,67.74078948,6,"Port Authority of New York/New Jersey NY/NJ",40.634,-73.7834
"Butler Jennifer",60.5955091,"F",4.465036581,158.7045089,8,"Mobile AL",30.6944,-88.0431
"Simons Larry",35.80466401,"M",4.626920266,0,6,"Port Authority of New York/New Jersey NY/NJ",40.634,-73.7834
"Mason Penny",35.87338778,"F",3.101925634,48.0170507,7,"Philadelphia PA",39.95,-75.1667
"Burton Theodore",41.93560641,"M",4.557230329,42.78802656,8,"Mobile AL",30.6944,-88.0431
"Hunt Joseph",35.49790596,"M",5.174673648,34.52427221,7,"Philadelphia PA",39.95,-75.1667
"Loiselle Thomas",40.02887,"M",12.185467,59.88316464,3,"Houston TX",29.7604,-95.3698
"Nguyen William",49.75658466,"M",4.313617694,100.6740987,4,"Los Angeles CA",34.05,-118.25
"Schrupp James",38.11173232,"M",3.493533521,9.522523814,3,"Houston TX",29.7604,-95.3698
"Donaldson Adriana",42.8715,"F",19.006436,38.88332344,1,"Memphis TN",35.1174,-89.9711
"Thompson Felipe",49.94274462,"M",5.775266268,129.8357633,3,"Houston TX",29.7604,-95.3698
"Livingston Lester",77,"M",3.203849714,44.2731088,7,"Philadelphia PA",39.95,-75.1667
"Ashley Emma",23.74733283,"F",2.992041355,0,6,"Port Authority of New York/New Jersey NY/NJ",40.634,-73.7834
"Davis Jeffery",36.196064,"M",18.196064,0,2,"Chicago IL",41.8369,-87.6847
"Farris Augustina",51.56495808,"F",4.641869886,75.25704812,6,"Port Authority of New York/New Jersey NY/NJ",40.634,-73.7834
"Colman Katherine",40.41201341,"F",6.192268184,58.97153025,8,"Mobile AL",30.6944,-88.0431
"Martin Daniel",52.44651862,"M",4.29126449,134.6683839,3,"Houston TX",29.7604,-95.3698
"Atencio Morris",20.02556154,"M",4.483391669,0,3,"Houston TX",29.7604,-95.3698
"Harrod Gloria",44.60660014,"F",4.862142071,78.34173929,3,"Houston TX",29.7604,-95.3698
"Bell Angelo",67.08801208,"M",2.183958352,168.9957664,8,"Mobile AL",30.6944,-88.0431
"Kelley Virginia",41.25328235,"F",2.018782807,56.21994065,9,"Charleston SC",32.7833,-79.9333
"Turner Stephen",62.05182058,"M",5.473604647,152.6467667,9,"Charleston SC",32.7833,-79.9333
"Mortimer Cecilia",28.07544199,"F",5.776657666,0,4,"Los Angeles CA",34.05,-118.25
"Stutts Belle",49.90577748,"F",5.357402979,80.24254043,7,"Philadelphia PA",39.95,-75.1667
"Bryant John",50.07982,"M",1,78.7532824,9,"Charleston SC",32.7833,-79.9333
"Nolan John",33.80945018,"M",5.654808747,0,2,"Chicago IL",41.8369,-87.6847
"Allison Connie",51.60595642,"F",3.9855896,88.91127783,10,"Savannah GA",32.0167,-81.1167
"McAllister Greg",38.678832,"M",20.678832,21.38553248,6,"Port Authority of New York/New Jersey NY/NJ",40.634,-73.7834
"Murry Adam",30.29765034,"M",7.560140987,3.737100223,4,"Los Angeles CA",34.05,-118.25
"Price David",43.68608721,"M",0.385746182,38.06658377,5,"New Orleans LA",29.95,-90.0667
"McCoy Corey",50.04741662,"M",5.702536846,116.2269635,1,"Memphis TN",35.1174,-89.9711
"Baker Linda",34.68894529,"F",4.721105791,0,3,"Houston TX",29.7604,-95.3698
"Shultz Charles",29.32983419,"M",3.28103742,0,5,"New Orleans LA",29.95,-90.0667
"Medina Bonita",50.01054543,"F",3.653801673,77.13030678,2,"Chicago IL",41.8369,-87.6847
